Site Code,LAT,LON,STATECD,Plot,Plot Direction,Tree #,CORE #,ID,Species,DBH,LIVE / DEAD,BASAL AREA,#Rings To Pith,Inner Ring Date,Est. Pith Date,Outer Ring date,Estimated Age,"Method Used For Estimating  # Rings to Pith (P,M or O)",Bark Date (Y or N),Full Arcs (Y or N),Core Quality (Qualtative Assessment),Core Obtained (Y or N)?,Comments,Spc Identified From Core,PITH,DAMAGE,CROWN CLASS,TREE HEIGHT (M),CBH (FT),PIAL EMERGENT,PIAL SAPLING,SPLIT TOP,SPLIT BASE,BLUE STAIN,FIRE SCAR,SNAG,STUMP,LOG,RING COUNT,Measured Ring Widths,Arc Length,Arc Height,Average of 10 rings,Estimated Distance to Radius,Subtract,Occular or Measured Estimate of #Rings to Pith,Field Notes
BLD,47.7812,-113.9627,30,T12,N,6,,T12N6,PIAL,21.3,LIVE,0.035632813,2,1918,1916,2016,101,M,Y,Y,G5,Y,Shut down @ 1953,,,,DOM,,25,,,,,,X (on stem),,,,,1,10.06,3.73,1.55,5.26,1,2,
BLD,47.7812,-113.9627,30,T12,N,8,,T12N8,PIAL,18.4,LIVE,0.026590502,0,1918,1918,2016,99,P,Y,Y,GP,Y,Shut down @ 1950,,1,X (1924),CO,,,,,,,,,,,,,1,,,,#DIV/0!,,0,
BLD,47.7812,-113.9627,30,T12,E,1,,T12E1,PIAL,16.3,LIVE,0.020867293,3,1915,1912,2016,105,M,Y,Y,G5,Y,,,,X (1919 / 1924),INT,,15,,,,1,,,,,,,1,13.99,4.24,1.48,7.89,2,3,
BLD,47.7812,-113.9627,30,T12,E,4,,T12E4,PIAL,24.6,LIVE,0.047529266,0,1912,1912,2016,105,P,Y,Y,GP,Y,Shut down @ 1972 / Narrow Rings,,1,X (1920),CO,,35,,,,,1,X (on stem),,,,,,,,,#DIV/0!,,0,
BLD,47.7812,-113.9627,30,T12,E,6,,T12E6,PIAL,15.6,LIVE,0.019113494,2,1913,1911,2016,106,M,Y,Y,G5,Y,Shut down @ 1950,,,,SUP,,17,,,,1,,,,,,,1,10.52,4.02,0.94,5.45,4,2,
BLD,47.7812,-113.9627,30,U8,N,8,,U8N8,PIAL,17.5,LIVE,0.024052875,4,1915,1911,2016,106,M,Y,Y,G5,Y,,,,X (1919 / 1924),INT,,12,,,,,,,,,,,1,11.77,3.69,0.865,6.54,4,4,
BLD,47.7812,-113.9627,30,U8,W,8,,U8W8,PIAL,24.4,LIVE,0.046759574,0,1908,1908,2016,109,P,Y,Y,GP,Y,,,1,X (1919 / 1924),CO,,33,,,,1,,X (on stem),,,,,1,,,,#DIV/0!,,0,
BLD,47.7812,-113.9627,30,U11,W,3,,U11W3,PIAL,19.8,LIVE,0.030790822,3,1901,1898,2016,119,M,Y,Y,G5,Y,Shut down in 1950s / Pinch out in 1930s,,,X (1908 / 1909 / 1910 / 1913 / 1914 / 1916 / 1919 / 1926),CO,13.5,12,1,,,1,,,,,,,,8.32,3.13,0.607,4.33,4,3,
BLD,47.7812,-113.9627,30,U12,N,7,,U12N7,PIAL,24.3,LIVE,0.046377085,7,1929,1922,2016,95,O,Y,Y,G10,Y,Obtrusion in Arcs / Dead on Data Sheet but Last Year 2016 (Confirmed),,,,,8.2,,1,,,,,,1,,,,1,,,,#DIV/0!,,7,
BLD,47.7812,-113.9627,30,U12,N,10,,U12N10,PIAL,19.8,LIVE,0.030790822,0,1920,1920,2016,97,P,Y,Y,GP,Y,,,1,X (1924),CO,7.3,,,,,,1,X (on stem),,,,,1,,,,#DIV/0!,,0,
BLD,47.7812,-113.9627,30,U12,E,5,,U12E5,PIAL,20.9,LIVE,0.034307057,0,1912,1912,2016,105,M,Y,Y,GP,Y,Shut down post 1957,,1,X (1919 / 1924),SUP,10.3,7,,,,,,X (on stem),,,,,1,8.39,3.58,1.94,4.25,2,0,
BLD,47.7812,-113.9627,30,U12,W,1,,U12W1,PIAL,17.7,LIVE,0.024605797,7,1930,1923,2016,94,M,Y,Y,G10,Y,,,,,INT,13.1,13,,,,,,,,,,,1,17.5,4.17,1.126,11.27,3,7,
BLD,47.7812,-113.9627,30,W9,E,10,,W9E10,PIAL,19.4,LIVE,0.029559314,4,1919,1915,2016,102,M,Y,Y,G5,Y,,1,,X (1924),DOM,,15,,,,1,,,,,,,1,13.08,3.79,1.324,7.54,2,4,
BLD,47.7812,-113.9627,30,W10,N,10,,W10N10,PIAL,24.3,LIVE,0.046377085,1,1911,1910,2016,107,M,Y,Y,G5,Y,,,,X (1919 / 1924),SUP,,,,1,,,,X (on stem),1,,,,1,11.54,4.53,1.44,5.94,3,1,
BLD,47.7812,-113.9627,30,W10,S,2,,W10S2,PIAL,19.5,LIVE,0.029864835,7,1918,1911,2016,106,M,Y,Y,G10,Y,,,,X (1919 / 1924),CO,,17,,,,,,X (on stem),,,,,1,20.52,3.77,1.806,15.85,2,7,
BLD,47.7812,-113.9627,30,W10,S,10,,W10S10,PIAL,16.5,LIVE,0.021382515,2,1913,1911,2016,106,M,Y,Y,G5,Y,Major shut down from 1970-1990s,,,X (1919 / 1924),CO,,17,,,,1,1,X (on stem),,,,,,13.76,4.58,1.328,7.46,4,2,
